Date,Open,High,Low,Close,Adj Close,Volume,return,points_gained,call_price,max_loss,price_for_points,profit
2007-12-01,6136.75,6357.10009765625,4448.5,5223.5,5223.5,0,,,,,,
2008-03-01,5222.7998046875,5298.85009765625,4468.5498046875,4870.10009765625,4870.10009765625,0,-0.0676557676545898,-353.39990234375,344.75100000000003,-17237.550000000003,-14312.696044921877,-14312.696044921877
2008-06-01,4869.25,4908.7998046875,3790.199951171875,4360.0,4360.0,0,-0.10474119369779222,-510.10009765625,321.42660644531253,-16071.330322265627,-20659.053955078125,-16071.330322265627
2008-09-01,4356.10009765625,4558.0,2252.75,2755.10009765625,2755.10009765625,0,-0.36809630787700687,-1604.89990234375,287.76,-14388.0,-64998.446044921875,-14388.0
2008-12-01,2755.14990234375,3147.199951171875,2570.699951171875,2763.64990234375,2763.64990234375,0,0.0031032646308470913,8.5498046875,181.8366064453125,-9091.830322265625,346.26708984375,346.26708984375
2009-03-01,2764.60009765625,4509.39990234375,2539.449951171875,4448.9501953125,4448.9501953125,0,0.60980961862771,1685.30029296875,182.4008935546875,-9120.044677734375,68254.66186523438,68254.66186523438
2009-06-01,4450.39990234375,4743.75,3918.75,4662.10009765625,4662.10009765625,0,0.047910157000258025,213.14990234375,293.63071289062503,-14681.535644531252,8632.571044921875,8632.571044921875
2009-09-01,4662.2001953125,5181.9501953125,4538.5,5032.7001953125,5032.7001953125,0,0.07949209366880816,370.60009765625,307.6986064453125,-15384.930322265625,15009.303955078125,15009.303955078125
2009-12-01,5039.7001953125,5310.85009765625,4675.39990234375,4922.2998046875,4922.2998046875,0,-0.021936611826754104,-110.400390625,332.158212890625,-16607.91064453125,-4471.2158203125,-4471.2158203125
2010-03-01,4935.60009765625,5399.64990234375,4786.4501953125,5086.2998046875,5086.2998046875,0,0.033317759280697024,164.0,324.871787109375,-16243.589355468752,6642.0,6642.0
2010-06-01,5086.25,5549.7998046875,4961.0498046875,5402.39990234375,5402.39990234375,0,0.062147358550302956,316.10009765625,335.69578710937503,-16784.78935546875,12802.053955078127,12802.053955078127
2010-09-01,5403.0498046875,6338.5,5403.0498046875,5862.7001953125,5862.7001953125,0,0.08520292856681255,460.30029296875,356.55839355468754,-17827.91967773438,18642.161865234375,18642.161865234375
2010-12-01,5871.0,6181.0498046875,5177.7001953125,5333.25,5333.25,0,-0.0903082500680864,-529.4501953125,386.93821289062504,-19346.910644531254,-21442.73291015625,-19346.910644531254
2011-03-01,5382.0,5944.4501953125,5328.7001953125,5473.10009765625,5473.10009765625,0,0.026222303034031835,139.85009765625,351.9945,-17599.725000000002,5663.928955078125,5663.928955078125
2011-06-01,5561.0498046875,5740.39990234375,4720.0,5001.0,5001.0,0,-0.0862582611742142,-472.10009765625,361.22460644531253,-18061.230322265626,-19120.053955078125,-18061.230322265626
2011-09-01,5109.7998046875,5399.7001953125,4640.9501953125,4832.0498046875,4832.0498046875,0,-0.0337832824060188,-168.9501953125,330.06600000000003,-16503.300000000003,-6842.48291015625,-6842.48291015625
2011-12-01,4970.85009765625,5629.9501953125,4531.14990234375,5385.2001953125,5385.2001953125,0,0.11447530819909946,553.150390625,318.915287109375,-15945.764355468751,22402.5908203125,22402.5908203125
2012-03-01,5366.0,5499.39990234375,4788.9501953125,4924.25,4924.25,0,-0.08559573991580294,-460.9501953125,355.423212890625,-17771.16064453125,-18668.48291015625,-17771.16064453125
2012-06-01,4910.85009765625,5448.60009765625,4770.35009765625,5258.5,5258.5,0,0.06787835711021972,334.25,325.0005,-16250.025,13537.125,13537.125
2012-09-01,5276.5,5885.25,4888.2001953125,5879.85009765625,5879.85009765625,0,0.11816109112032902,621.35009765625,347.06100000000004,-17353.050000000003,25164.678955078125,25164.678955078125
2012-12-01,5878.25,6111.7998046875,5671.89990234375,5693.0498046875,5693.0498046875,4374300,-0.031769567228118634,-186.80029296875,388.0701064453125,-19403.505322265624,-7565.411865234375,-7565.411865234375
2013-03-01,5702.4501953125,6229.4501953125,5477.2001953125,5985.9501953125,5985.9501953125,8681500,0.05144876659674291,292.900390625,375.74128710937504,-18787.064355468752,11862.4658203125,11862.4658203125
2013-06-01,5997.35009765625,6093.35009765625,5118.85009765625,5471.7998046875,5471.7998046875,11513000,-0.08589286142534613,-514.150390625,395.07271289062504,-19753.635644531252,-20823.0908203125,-19753.635644531252
2013-09-01,5480.25,6332.60009765625,5318.89990234375,6176.10009765625,6176.10009765625,11334600,0.12871455793492315,704.30029296875,361.138787109375,-18056.939355468752,28524.161865234375,28524.161865234375
2013-12-01,6171.14990234375,6415.25,5933.2998046875,6276.9501953125,6276.9501953125,9585400,0.01632909053635978,100.85009765625,407.6226064453125,-20381.130322265624,4084.428955078125,4084.428955078125
2014-03-01,6264.35009765625,7563.5,6212.25,7229.9501953125,7229.9501953125,10808100,0.1518253244564025,953.0,414.278712890625,-20713.93564453125,38596.5,38596.5
2014-06-01,7264.0498046875,7968.25,7239.5,7954.35009765625,7954.35009765625,9416700,0.10019431431400605,724.39990234375,477.176712890625,-23858.835644531253,29338.19604492188,29338.19604492188
2014-09-01,7990.35009765625,8617.0,7723.85009765625,8588.25,8588.25,8326500,0.07969223061108766,633.89990234375,524.9871064453125,-26249.355322265626,25672.946044921875,25672.946044921875
2014-12-01,8605.099609375,8996.599609375,7961.35009765625,8844.599609375,8844.599609375,9952800,0.029848876007917857,256.349609375,566.8245000000001,-28341.225000000002,10382.1591796875,10382.1591796875
2015-03-01,8953.849609375,9119.2001953125,7997.14990234375,8433.650390625,8433.650390625,10220800,-0.04646329250613068,-410.94921875,583.74357421875,-29187.178710937504,-16643.443359375,-16643.443359375
2015-06-01,8417.25,8654.75,7667.25,7971.2998046875,7971.2998046875,10194000,-0.054822119073308695,-462.3505859375,556.62092578125,-27831.0462890625,-18725.19873046875,-18725.19873046875
2015-09-01,7907.9501953125,8336.2998046875,7539.5,7935.25,7935.25,9669200,-0.0045224499856725275,-36.0498046875,526.105787109375,-26305.28935546875,-1460.01708984375,-1460.01708984375
2015-12-01,7958.14990234375,7979.2998046875,6825.7998046875,6987.0498046875,6987.0498046875,11977800,-0.11949216411738761,-948.2001953125,523.7265,-26186.325,-38402.10791015625,-26186.325
2016-03-01,7038.25,8213.599609375,7035.10009765625,8160.10009765625,8160.10009765625,12709700,0.16788921300972692,1173.05029296875,461.14528710937503,-23057.264355468753,47508.53686523438,47508.53686523438
2016-06-01,8179.2001953125,8819.2001953125,7927.0498046875,8786.2001953125,8786.2001953125,11341300,0.07672701194389497,626.10009765625,538.5666064453126,-26928.33032226563,25357.053955078125,25357.053955078125
2016-09-01,8793.599609375,8968.7001953125,7916.39990234375,8224.5,8224.5,11651000,-0.06392981981131851,-561.7001953125,579.889212890625,-28994.46064453125,-22748.85791015625,-22748.85791015625
2016-12-01,8244.0,8982.150390625,7893.7998046875,8879.599609375,8879.599609375,11526400,0.07965221100066877,655.099609375,542.817,-27140.85,26531.534179687504,26531.534179687504
2017-03-01,8904.400390625,9649.599609375,8860.099609375,9621.25,9621.25,12308100,0.0835229541027922,741.650390625,586.05357421875,-29302.6787109375,30036.8408203125,30036.8408203125
2017-06-01,9603.5498046875,10137.849609375,9448.75,9917.900390625,9917.900390625,11458400,0.030832832597115667,296.650390625,635.0025,-31750.125000000004,12014.3408203125,12014.3408203125
2017-09-01,9937.650390625,10490.4501953125,9687.5498046875,10226.5498046875,10226.5498046875,13316500,0.031120438994754807,308.6494140625,654.58142578125,-32729.0712890625,12500.30126953125,12500.30126953125
2017-12-01,10263.7001953125,11171.5498046875,10033.349609375,10492.849609375,10492.849609375,12454900,0.026040043785386713,266.2998046875,674.952287109375,-33747.61435546875,10785.14208984375,10785.14208984375
2018-03-01,10479.9501953125,10929.2001953125,9951.900390625,10736.150390625,10736.150390625,14031000,0.023187293281380805,243.30078125,692.52807421875,-34626.4037109375,9853.681640625,9853.681640625
2018-06-01,10738.4501953125,11760.2001953125,10550.900390625,11680.5,11680.5,14255300,0.08795979704230139,944.349609375,708.58592578125,-35429.2962890625,38246.1591796875,38246.1591796875
2018-09-01,11751.7998046875,11751.7998046875,10004.5498046875,10876.75,10876.75,17501000,-0.0688112666409828,-803.75,770.913,-38545.65,-32551.875,-32551.875
2018-12-01,10930.7001953125,11118.099609375,10333.849609375,10792.5,10792.5,21268300,-0.007745879973337644,-84.25,717.8655,-35893.275,-3412.125,-3412.125
2019-03-01,10842.650390625,12041.150390625,10817.0,11922.7998046875,11922.7998046875,22019700,0.10473011857192494,1130.2998046875,712.3050000000001,-35615.25,45777.14208984375,45777.14208984375
2019-06-01,11953.75,12103.0498046875,10637.150390625,11023.25,11023.25,27929600,-0.07544786622466293,-899.5498046875,786.9047871093751,-39345.23935546875,-36431.76708984375,-36431.76708984375
2019-09-01,10960.9501953125,12158.7998046875,10670.25,12056.0498046875,12056.0498046875,40849000,0.09369285870206157,1032.7998046875,727.5345,-36376.725,41828.39208984375,41828.39208984375
2019-12-01,12137.0498046875,12430.5,11175.0498046875,11201.75,11201.75,33713400,-0.07086067314978584,-854.2998046875,795.6992871093751,-39784.96435546875,-34599.14208984375,-34599.14208984375
2020-03-01,11387.349609375,11433.0,7511.10009765625,9580.2998046875,9580.2998046875,47715200,-0.14474972172316825,-1621.4501953125,739.3155,-36965.775,-65668.73291015625,-36965.775
2020-06-01,9726.849609375,11794.25,9544.349609375,11387.5,11387.5,45454500,0.18863712327961424,1807.2001953125,632.2997871093751,-31614.989355468755,73191.60791015625,73191.60791015625
2020-09-01,11464.2998046875,13145.849609375,10790.2001953125,12968.9501953125,12968.9501953125,37535500,0.13887597763446768,1581.4501953125,751.575,-37578.75,64048.73291015625,64048.73291015625
2020-12-01,13062.2001953125,15431.75,12962.7998046875,14529.150390625,14529.150390625,39511400,0.12030273629059196,1560.2001953125,855.950712890625,-42797.53564453125,63188.10791015625,63188.10791015625
2021-03-01,14702.5,15606.349609375,14151.400390625,15582.7998046875,15582.7998046875,29091400,0.07251968530399222,1053.6494140625,958.9239257812501,-47946.19628906251,42672.80126953125,42672.80126953125
2021-06-01,15629.650390625,17153.5,15450.900390625,17132.19921875,17132.19921875,20185800,0.09943010456929713,1549.3994140625,1028.464787109375,-51423.23935546875,62750.67626953125,62750.67626953125
2021-09-01,17185.599609375,18604.44921875,16782.400390625,16983.19921875,16983.19921875,20459900,-0.00869707374386175,-149.0,1130.7251484375001,-56536.25742187501,-6034.5,-6034.5
2021-12-01,17104.400390625,18350.94921875,16203.25,16793.900390625,16793.900390625,16554900,-0.011146240804618679,-189.298828125,1120.8911484375,-56044.557421875004,-7666.6025390625,-7666.6025390625
